微博正文,来源,时间,
大风泱泱，大潮滂滂，和天地并存，与日月同光✨#周深遇见花西子#,A平台,2021-07-20 22:39:57,
【宋亚轩好帅宋亚轩我喜欢你@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-20 22:36:44,
✨#周深遇见花西子#✨这首歌的曲调坚守古典的含蓄内敛，还能深深的歌声中感受到了融汇共生，平衡之美，好好听@卡布叻_周深L花西子-东方彩妆的微博视频,A平台,2021-07-20 21:30:18,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-20 21:10:52,
不//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 21:08:51,
【宋亚轩好帅宋亚轩我喜欢你@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-20 20:06:12,
#周深五国语言唱花西子#周深的音乐让我知道，人世间的各种欢乐，各种心酸，各种痛楚。他的音乐让我知道，我不会孤独，不会寂寞。周深给了我无穷的动力@卡布叻_周深,A平台,2021-07-20 19:52:52,
#花西子全球品牌大使周深#喜欢的不仅是花西子这首歌，还有这个品牌。东方彩妆，淡妆宜巧，而浓抹不妖。一花一水一草一木，都在花西子和周深@卡布叻_周深的歌声中体现得淋漓尽致！周深《花西子(国际版)》K花西子(国际版)（@网易云音乐）,A平台,2021-07-20 19:46:46,
ff//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 19:42:32,
✨#周深遇见花西子#✨携曲入梦，梦中仍存花香馥郁，郁郁苍苍染百木，木林中住守歌人，人听一小曲，曲中尽诉情。好词好曲好音，和周深一起，聆听《花西子》之东方韵味。@卡布叻_周深L花西子-东方彩妆的微博视频,A平台,2021-07-20 19:37:06,
#花西子全球品牌大使周深#合作升级，身份升级，连歌曲都跟着升级了！！周深@卡布叻_周深用五国语言重新演唱《花西子》，和新身份真是绝配啊L花西子Florasis的微博视频,A平台,2021-07-20 19:34:16,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-20 19:03:23,
ysud//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 18:34:00,
#花西子全球品牌大使周深#期待深深和花西子一起携手走向世界舞台！！！实力与颜值同时在线，小啾啾深太帅了@卡布叻_周深,A平台,2021-07-20 17:57:14,
一dd//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 17:52:57,
#周深五国语言唱花西子#别人是吃了润喉糖的嗓子你不一样你这嗓子是在造糖@卡布叻_周深http://t.cn/A6xCEb21,A平台,2021-07-20 17:47:16,
uxd//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 17:22:34,
#周深遇见花西子#月上眉梢几笔思念无从勾销缘分从来不潦草情长不老”@卡布叻_周深L花西子-东方彩妆的微博视频,A平台,2021-07-20 17:05:46,
#花西子全球品牌大使周深#梦中再照面已不会地转天旋，醒来一肩夕阳零落的碎片,A平台,2021-07-20 16:59:42,
#周深五国语言唱花西子#周深：平平无奇的n语歌手罢了今天也是给周深奉上膝盖的一天宝，晚安😘😘😘@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-20 15:55:20,
yydd//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 15:29:57,
eyyee//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 15:21:40,
uuss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 14:57:12,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-20 14:10:25,
uss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 14:01:33,
suuds//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 13:45:55,
#周深五国语言唱花西子#柳絮轻飘，尘世喧嚣逐一退潮，太好听了！太有意味了！@卡布叻_周深L花西子Florasis的微博视频深深💕,A平台,2021-07-20 13:40:49,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-20 13:30:07,
#周深五国语言唱花西子#守护和传播东方之音、民族美学，听深深用五国语言让我们感受东方韵律！携手花西子走向世界！@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-20 13:30:02,
udud//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 13:23:17,
yys//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 12:59:12,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-20 12:49:04,
#周深五国语言唱花西子#宇宙中我们都是独自旋转的星球冥冥中我们在这里相遇不想睡，想听你从怦然心动到岁月绵延不想睡，想陪你从晨光初生到夜幕星辰不想睡，想看你从翩翩少年到青丝白雪@卡布叻_周深,A平台,2021-07-20 12:41:23,
#周深五国语言唱花西子#L花西子Florasis的微博视频@卡布叻_周深你知道我的眼睛为什么这么小吗？还不是因为只想容下你一个人,A平台,2021-07-20 12:28:00,
#周深五国语言唱花西子#让我开心的喜爱的，其实不是歌曲本身，而是周深歌声给我带来的愉悦感@卡布叻_周深,A平台,2021-07-20 12:18:29,
#周深遇见花西子#世界的温柔是晚来的善意和干净的你，少年的肩膀要挑起清风明月和草长莺飞，请成为永远疯狂、永远浪漫、永远清澈的存在。,A平台,2021-07-20 11:55:11,
#花西子全球品牌大使周深#❣️落日跟星星是我前半生所遇见的风景里排名第三和第二的美好的东西，第一是你——周深。@卡布叻_周深,A平台,2021-07-20 11:18:04,
#周深五国语言唱花西子#假如世界上没有音乐，那么你的声音将会成为音乐的起源。@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-20 11:13:16,
tt//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 10:57:35,
✨#周深遇见花西子#✨《花西子》作为一首打广告的歌，为什么可以那么好听！！！因为是@卡布叻_周深唱的L花西子-东方彩妆的微博视频,A平台,2021-07-20 10:41:48,
gg//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 10:40:54,
#周深遇见花西子#柳絮轻飘尘世喧嚣逐一退潮伊人脸上一抹笑往梦里找繁花娇苏堤春晓❤️❤️❤️@卡布叻_周深L花西子-东方彩妆的微博视频,A平台,2021-07-20 10:36:37,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-20 10:18:30,
#周深遇见花西子#不曾留意的，不仅是街角的尘埃，还是你的歌声。但当我留意之后，你的歌声竟然如此动人。@卡布叻_周深《花西子》L花西子-东方彩妆的微博视频,A平台,2021-07-20 10:10:17,
yyzz//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 09:47:53,
#花西子全球品牌大使周深#周深5国语言全新演绎《花西子》国际版，向世界传递东方之美。@卡布叻_周深#周深五国语言唱花西子#L花西子Florasis的微博视频,A平台,2021-07-20 09:17:58,
#花西子全球品牌大使周深#你的目光落在我身上的时候，我就希望我能变好一点，再好一点。我想要成为发光的存在，想要你有一天会因为我而骄傲。@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-20 09:17:16,
#花西子全球品牌大使周深#@卡布叻_周深，我们的小太阳。夏天不会炙热，冬天带来温暖，一年四季都少不了他。,A平台,2021-07-20 08:41:33,
yy//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 08:35:47,
#周深五国语言唱花西子#@卡布叻_周深天冷你就回来！在面对接踵而至的困难时，不必强撑自己在寒凉中踽踽独行，随时记得背后有可以依靠的港湾，有温暖的怀抱与细腻的关照。是情感联系了这个世界，让寒凉成为人间真情传递的见证者，是爱与力，让生命焕发别样的光彩！深米情深呀！,A平台,2021-07-20 08:04:23,
#周深遇见花西子#月上眉梢几笔思念无从勾销缘分从来不潦草情长不老”@卡布叻_周深L花西子-东方彩妆的微博视频,A平台,2021-07-20 01:58:19,
ussd//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-20 01:54:17,
#周深五国语言唱花西子#周深：平平无奇的n语歌手罢了今天也是给周深奉上膝盖的一天晚安，崽💫💫💫@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-20 01:28:57,
#花西子全球品牌大使周深#【周深|《花西子》（国际版）MV幕后花絮】《花西子》（国际版）MV的幕后花絮在抖♪音掉落啦，来看深深的拍摄风采和好笑趣事吧！@卡布叻_周深L周深_星轨记录仪的微博视频,A平台,2021-07-20 01:16:06,
#周深五国语言唱花西子#@卡布叻_周深一步一步慢慢走来才有更多的时间去磨练和进步，才有了今天强大而美好的你！,A平台,2021-07-20 00:58:54,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-19 23:50:12,
#周深五国语言唱花西子#守护和传播东方之音、民族美学，听深深用五国语言让我们感受东方韵律！携手花西子走向世界！@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-19 23:45:01,
中ss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 23:44:35,
中日ss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 23:13:26,
//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 22:56:39,
#花西子全球品牌大使周深#做一个温柔的人，永远不卑不亢清澈善良。祝你今天愉快，你明天的愉快留着我明天再祝😘😘😘@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-19 22:43:54,
不能ss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 22:28:58,
#花西子全球品牌大使周深#期待深深和花西子一起携手走向世界舞台！！！实力与颜值同时在线，小啾啾深太帅了@卡布叻_周深,A平台,2021-07-19 22:10:20,
#周深遇见花西子#山有木兮卿有意，昨夜星辰恰似你。@卡布叻_周深《花西子》L花西子-东方彩妆的微博视频,A平台,2021-07-19 21:57:48,
中ss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 21:32:05,
宋亚轩#宋亚轩东方卫视跨年晚会##花西子品牌大使宋亚轩#你的眼睛像星星亮晶晶，一眼就坠入陷阱@时代少年团-宋亚轩,A平台,2021-07-19 21:26:14,
一起聆听@卡布叻_周深五国语言版的《花西子》，将这份东方之美传向世界吧~#周深五国语言唱花西子#L花西子Florasis的微博视频,A平台,2021-07-19 21:09:49,
与s//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 20:58:35,
@卡布叻_周深周深，晚安，星星月亮光临，祝你做个好梦#花西子全球品牌大使周深#《superstar》找镜头L浙江广电集团的优酷视频,A平台,2021-07-19 20:56:28,
一dd//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 20:39:33,
💙#周深遇见花西子#花西子这个花絮真的是又帅又可爱，清爽利落的帅气，机敏灵动的可爱。@卡布叻_周深L花西子Florasis的微博视频💕,A平台,2021-07-19 20:36:09,
#周深遇见花西子#柳絮轻飘尘世喧嚣逐一退潮伊人脸上一抹笑往梦里找繁花娇苏堤春晓@卡布叻_周深L花西子-东方彩妆的微博视频,A平台,2021-07-19 20:30:51,
#花西子全球品牌大使周深#@卡布叻_周深L花西子-东方彩妆的微博视频多想跨过山和大海，去拥抱你，而不是拿着手机说想你,A平台,2021-07-19 20:22:02,
#周深五国语言唱花西子#《花西子》国际版L花西子Florasis的微博视频好喜欢周深唱歌的状态，自由而纯粹，真正出类拔萃！有天赋又极其努力，温暖又阳光，低调又谦虚，@卡布叻_周深,A平台,2021-07-19 19:53:22,
ff//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 19:49:09,
✨#周深遇见花西子#✨柳絮轻飘尘世喧嚣逐一退潮伊人脸上一抹笑往梦里找繁花娇苏堤春晓好美！好好听！@卡布叻_周深L花西子-东方彩妆的微博视频,A平台,2021-07-19 19:43:02,
fff//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 19:36:18,
#周深遇见花西子#传统五音，宫商角徵羽。宛转悠扬，江南西子调。古风悠扬，意境唯美@卡布叻_周深L花西子-东方彩妆的微博视频,A平台,2021-07-19 19:24:34,
gg//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 19:21:27,
#花西子全球品牌大使周深#好喜欢周深唱歌的状态，自由而纯粹，真正出类拔萃！有天赋又极其努力，温暖又阳光，低调又谦虚，@卡布叻_周深,A平台,2021-07-19 19:14:27,
ff//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 18:58:55,
yyzz//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 18:47:06,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-19 18:24:25,
#周深遇见花西子#喜欢有很多种，无论是哪一种，我都想给你。@卡布叻_周深,A平台,2021-07-19 18:16:52,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-19 18:12:51,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-19 18:01:06,
#花西子全球品牌大使周深#✨❤️周深，不是我喜欢的样子你都有，而是你所有的样子，我都喜欢。@卡布叻_周深,A平台,2021-07-19 17:37:19,
#周深遇见花西子#深深告诉我：只要你愿意走，踩过的都是路，只要你不回避与退缩，生命的掌声终会为你响起@卡布叻_周深,A平台,2021-07-19 17:21:20,
#周深五国语言唱花西子#守护和传播东方之音、民族美学，听深深用五国语言让我们感受东方韵律！携手花西子走向世界！@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-19 17:19:58,
#周深五国语言唱花西子#守护和传播东方之音、民族美学，听深深用五国语言让我们感受东方韵律！携手花西子走向世界！@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-19 17:16:50,
#花西子全球品牌大使周深#海尽头的人烟，漫过了远山，漫过了心田的里边,A平台,2021-07-19 17:06:31,
#花西子全球品牌大使周深#恭喜@卡布叻_周深成为花西子全求品牌大使！期待花西子和周深一起，走向更大的舞台！作为生米，也会一如既往地支持！！ㅍ_ㅍ,A平台,2021-07-19 17:04:01,
udud//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 16:55:59,
#周深遇见花西子#柳絮轻飘尘世喧嚣逐一退潮伊人脸上一抹笑往梦里找繁花娇苏堤春晓@卡布叻_周深L花西子-东方彩妆的微博视频,A平台,2021-07-19 16:53:25,
#花西子全球品牌大使周深#期待深深和花西子一起携手走向世界舞台！！！实力与颜值同时在线，小啾啾深太帅了@卡布叻_周深,A平台,2021-07-19 16:50:39,
#花西子全球品牌大使周深#爱上一朵花就陪她去绽放，爱上一个人就陪他去成长。希望我能一直陪伴深深越来越好@卡布叻_周深,A平台,2021-07-19 16:44:11,
yuss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 16:33:41,
#花西子全球品牌大使周深#做一个温柔的人，永远不卑不亢清澈善良。祝你今天愉快，你明天的愉快留着我明天再祝💫💫💫@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-19 16:32:53,
yyss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 16:12:29,
ya//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 15:59:25,
tt//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 15:55:16,
tta//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 15:53:34,
#周深遇见花西子#传统五音，宫商角徵羽。宛转悠扬，江南西子调。这首歌mv意境好美@卡布叻_周深L花西子-东方彩妆的微博视频,A平台,2021-07-19 15:21:52,
gff//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 15:07:28,
tt//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 15:04:11,
tts//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 14:39:32,
t//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 14:05:38,
#周深遇见花西子#周深的声音就像是潘多拉魔法盒，如此的神奇，如此的动听，如此的让人忍不住想要随着他的歌声进入那个世界@卡布叻_周深,A平台,2021-07-19 14:03:23,
ttd//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 13:45:15,
gtt//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 13:12:54,
ysys//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 12:43:25,
fg//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 12:41:49,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-19 12:37:28,
ggss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 12:00:54,
#周深五国语言唱花西子#守护和传播东方之音、民族美学，听深深用五国语言让我们感受东方韵律！携手花西子走向世界！@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-19 11:45:37,
#花西子全球品牌大使周深#柳絮轻飘尘世喧嚣逐一退潮伊人脸上一抹笑往梦里找繁花娇苏堤春晓@卡布叻_周深期待新的故事L花西子-东方彩妆的微博视频,A平台,2021-07-19 11:24:07,
hhss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-19 11:09:19,
#周深遇见花西子#扬帆时春潮渐来风起云涌酣歌处芳菲满目雅声佳音@卡布叻_周深,A平台,2021-07-19 10:54:16,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-19 10:50:43,
